id,title,keywords,ratings,confidences,withdraw,review_lengths,decision
09QFnDWPF8,Statistical Learning and Inverse Problems: A Stochastic Gradient Approach,"['Statistical Learning', 'Inverse Problems', 'Stochastic Gradient Descent']","[8, 5, 7]","[3, 3, 3]",0,"[875, 649, 214]",Accept
pnSyqRXx73,Efficiency Ordering of Stochastic Gradient Descent,"['Stochastic Gradient Descent', 'Asymptotic Analysis', 'Efficiency Ordering']","[5, 6, 7, 7]","[3, 3, 4, 4]",0,"[1280, 118, 287, 777]",Accept
EqJ5_hZSqgy,Self-Aware Personalized Federated Learning,"['Federared Learning', 'Personalization']","[7, 7, 3]","[3, 3, 3]",0,"[209, 303, 221]",Accept
xnI37HyfoP,Nonnegative Tensor Completion via Integer Optimization,"['tensor completion', 'machine learning']","[7, 6, 6]","[4, 3, 4]",0,"[445, 269, 1083]",Accept
OoNmOfYVhEU,TPU-KNN: K Nearest Neighbor Search at Peak FLOP/s,"['TPU', 'K-nearest neighbor search', 'Approximate nearest neighbor search', 'roofline model', 'accelerator']","[6, 5, 6, 6]","[4, 5, 4, 4]",0,"[162, 204, 446, 233]",Accept
0Dh8dz4snu,Equivariant Networks for Crystal Structures,"['materials', 'deep learning', 'symmetry', 'equivariance', 'crystals', 'graph neural networks', 'geometric deep learning']","[6, 4, 7]","[4, 2, 3]",0,"[1053, 495, 608]",Accept
s1yaWFDLxVG,Gradient Descent Is Optimal Under Lower Restricted Secant Inequality And Upper Error Bound,"['First-Order Optimization', 'Non-Convex', 'Deterministic', 'Gradient Descent', 'Restricted Secant Inequality', 'Error Bounds']","[7, 7, 7, 5]","[3, 3, 4, 4]",0,"[748, 334, 471, 591]",Accept
02dbnEbEFn,Decoupled Context Processing for Context Augmented Language Modeling,"['Retrieval Augmentation', 'Encoder-Decoder', 'Language Modeling', 'Efficiency']","[4, 5, 8]","[4, 4, 4]",0,"[247, 339, 541]",Accept
7eUOC9fEIRO,Planning to the Information Horizon of BAMDPs via Epistemic State Abstraction,"['Bayes-Adaptive Markov Decision Process', 'Bayesian reinforcement learning', 'Exploration', 'Planning']","[7, 7, 6, 5]","[4, 3, 4, 4]",0,"[643, 290, 1145, 932]",Accept
BUMiizPcby6,Trust Region Policy Optimization with Optimal Transport Discrepancies: Duality and Algorithm for Continuous Actions,"['Trust region policy optimization', 'optimal transport']","[5, 6, 7]","[3, 3, 4]",0,"[452, 354, 619]",Accept
kpSAfnHSgXR,Modeling Transitivity and Cyclicity in Directed Graphs via Binary Code Box Embeddings,"['graph representation learning', 'geometric representation learning', 'directed graphs', 'cyclic graphs', 'transitivity']","[6, 5, 5]","[3, 4, 3]",0,"[308, 704, 256]",Accept
qx51yfvLnE,Simple and Optimal Greedy Online Contention Resolution Schemes,"['contention resolution schemes', 'online algorithms', 'matroids', 'prophet inequalities']","[4, 6, 5, 7]","[3, 3, 4, 3]",0,"[713, 366, 272, 139]",Accept
KRk0lBRPpOC,Evaluating Latent Space Robustness and Uncertainty of EEG-ML Models under Realistic Distribution Shifts,"['dataset shifts', 'scalp EEG', 'representation learning', 'healthcare machine learning', 'model robustness', 'latent space', 'uncertainty quantification', 'distribution shift']","[4, 7, 3, 7]","[3, 3, 3, 5]",0,"[188, 1050, 242, 732]",Accept
TiZYrQ-mPup,COLD Decoding: Energy-based Constrained Text Generation with Langevin Dynamics,"['Text generation', 'constrained text generation', 'language models', 'natural language processing', 'langevin dynamics', 'decoding']","[6, 8, 7, 8]","[3, 3, 4, 3]",0,"[228, 193, 204, 339]",Accept
xuw7R0hP7G,From Gradient Flow on Population Loss to Learning with Stochastic Gradient Descent,"['Theory', 'Gradient flow', 'Stochastic Gradient Descent', 'Gradient Descent', 'SGD', 'Non-convex optimization', 'Lyapunov potentials']","[7, 6, 6, 6]","[3, 4, 4, 4]",0,"[282, 292, 709, 924]",Accept
yLilJ1vZgMe,Fast Neural Kernel Embeddings for General Activations,[],"[6, 6, 7, 7]","[1, 4, 3, 4]",0,"[240, 564, 459, 851]",Accept
XvI6h-s4un,On Reinforcement Learning and Distribution Matching for Fine-Tuning Language Models with no Catastrophic Forgetting,"['Reinforcement Learning', 'Language Models', 'Reward Maximization', 'Distribution Matching', 'Energy Based Models', 'Controlled Text Generation']","[7, 6, 7]","[4, 3, 4]",0,"[170, 344, 616]",Accept
ZMFQtvVJr40,Provably tuning the ElasticNet across instances,"['Elastic net', 'data-driven algorithm design', 'learning theory', 'regularization']","[8, 7, 5]","[4, 3, 2]",0,"[687, 1113, 725]",Accept
6iqd9JAVR1z,LAMP: Extracting Text from Gradients with Language Model Priors,"['federated learning', 'privacy', 'gradient leakage', 'natural language processing']","[7, 6, 6]","[3, 3, 3]",0,"[629, 289, 404]",Accept
uPyNR2yPoe,ELIGN: Expectation Alignment as a Multi-Agent Intrinsic Reward,"['Multi-agent intrinsic reward', 'multi-agent reinforcement learning']","[7, 4, 7, 7, 4]","[4, 4, 3, 4, 3]",0,"[364, 469, 1198, 564, 423]",Accept
82N_rasrUT_,Explicable Policy Search,"['Explainable Decision Making', 'Human-Aware AI']","[6, 3, 5, 7, 5]","[4, 3, 3, 5, 3]",0,"[1165, 452, 574, 1493, 744]",Accept
WBv9Z6qpA8x,"A Practical, Progressively-Expressive GNN","['GNN', 'k-WL', 'expressiveness']","[7, 7, 5, 4]","[3, 4, 4, 4]",0,"[653, 341, 409, 232]",Accept
F_9w7Wl78IH,The Impact of Task Underspecification in Evaluating Deep Reinforcement Learning,"['Reinforcement Learning', 'Evaluation', 'Scientific Progress', 'Reliability', 'Benchmarking']","[6, 7, 6]","[4, 3, 4]",0,"[863, 455, 884]",Accept
ffy-h0GKZbK,Chaotic Dynamics are Intrinsic to Neural Network Training with SGD,"['Optimization', 'Deep Learning', 'Chaos', 'Neural Networks', 'Curvature', 'Seconder Order Optimization', 'SGD', 'Hessian']","[6, 3, 6]","[4, 3, 4]",0,"[558, 261, 541]",Accept
6dfYc2IUj4,A PAC-Bayesian Generalization Bound for Equivariant Networks,"['generalization error', 'equivariant networks', 'group representation', 'PAC Bayesian']","[4, 6, 6, 6]","[4, 3, 2, 4]",0,"[195, 1442, 244, 568]",Accept
1vusesyN7E,Autoregressive Perturbations for Data Poisoning,"['autoregressive processes', 'poisons', 'data poisoning', 'data protection', 'imperceptible perturbations', 'adversarial machine learning']","[6, 6, 7, 5]","[4, 4, 5, 4]",0,"[301, 456, 409, 405]",Accept
SiSv_XDMksL,Near-Optimal No-Regret Learning Dynamics for General Convex Games,"['No-regret learning', 'optimism', 'extensive-form games', 'convex games']","[7, 6, 6, 7]","[1, 3, 4, 4]",0,"[218, 211, 1564, 431]",Accept
WcxJooGBCc,Learning the Structure of Large Networked Systems Obeying Conservation Laws,"['Structure Learning', 'Networked Systems', 'Conservation Laws', 'Gaussian Graphical models', 'Sparsistency', 'High dimensional regime']","[4, 7, 7, 6]","[4, 2, 2, 2]",0,"[192, 298, 334, 648]",Accept
CLMuNJSJfhv,Neural Payoff Machines: Predicting Fair and Stable Payoff Allocations Among Team Members,"['Cooperative games theory', 'Coalitional games', 'Shapley values', 'Bahnhof power index', 'The Core']","[5, 7, 4]","[3, 4, 4]",0,"[343, 246, 609]",Accept
St5q10aqLTO,Implicit Neural Representations with Levels-of-Experts,"['Implicit neural representations', 'neural fields', 'coordinate-based networks', 'hybrid representations', 'positional encoding']","[8, 7, 7, 5]","[4, 4, 2, 2]",0,"[239, 238, 757, 503]",Accept
9sKZ60VtRmi,LieGG: Studying Learned Lie Group Generators,"['invariance', 'equivariance', 'symmetry', 'Lie groups', 'interpretability']","[7, 6, 6]","[3, 3, 4]",0,"[617, 632, 1322]",Accept
YRDXX4IIA9,Local Bayesian optimization via maximizing probability of descent,"['local optimization', 'Bayesian optimization', 'active learning']","[6, 8, 7, 7]","[4, 4, 4, 4]",0,"[540, 434, 292, 1021]",Accept
cxZEBQFDoFK,"A Closer Look at Learned Optimization: Stability, Robustness, and Inductive Biases","['meta-learning', 'learned optimization']","[5, 7, 6, 7]","[4, 4, 4, 3]",0,"[137, 453, 283, 340]",Accept
8gUjpEsLCU,Empirical Gateaux Derivatives for Causal Inference,"['causal inference', 'double robustness', 'bias-adjustment', 'influence function', 'semiparametric', 'offline reinforcement learning']","[4, 7, 6]","[1, 3, 4]",0,"[366, 2306, 580]",Accept
